G,GS,MPG,FG%,3p%,FT%,OFF,DEF,RPG,APG,SPG,BPG,TO,PF,PPG,Class
1044,922,33.9,458,205,807,1.2,2.9,4,7.2,1.3,0.2,2.6,2.4,14.1,1
90,3,12,432,378,797,0.3,0.6,0.9,1.7,0.4,0,1,0.9,6,1
38,0,8.7,381,378,1,0.1,0.8,0.9,0.9,0.3,0.1,0.6,0.9,2.9,1
19,0,8.9,429,444,667,0.1,0.7,0.8,1.1,0.1,0,1,0.8,2.4,1
256,119,27.4,451,426,897,0.8,2.1,3,1.2,0.6,0.2,1,2,12.1,1
1152,993,31.4,491,428,904,0.5,2.5,3,8.6,0.8,0.1,2.9,1.6,14.5,1
136,8,21.3,445,419,798,0.2,2.1,2.3,1.6,0.4,0,1,1.6,9.9,1
527,432,28.2,456,388,808,0.5,2.5,3,5,0.9,0.1,2.2,2.6,12.4,1
429,18,15.4,390,354,866,0.2,1.3,1.5,2,0.5,0.1,1.1,1.4,6.5,1
44,5,9.6,333,263,593,0.3,0.6,0.8,1.3,0.3,0,1,1,2.9,1
494,423,27.8,444,404,794,0.5,2.7,3.2,2.3,0.9,0.2,1,1.6,9.1,1
806,793,32.9,492,310,738,0.4,2.6,3,5.9,1,0.1,2.5,1.8,16.8,1
485,485,37,472,361,854,0.7,3.7,4.5,9.8,2.4,0.1,2.4,2.5,18.8,1
528,141,15.8,406,349,679,0.3,1.4,1.8,0.9,0.5,0.2,0.8,1.8,5.1,1
538,156,21.5,427,357,665,0.8,2.3,3.1,0.8,0.7,0.4,1,2.3,8.4,1
150,3,14.9,375,309,743,0.3,1.2,1.5,2,0.6,0,1,1,6,1
355,33,11.5,389,304,729,0.3,0.8,1.1,1.4,0.6,0.1,0.8,1.5,3.6,1
629,429,32,447,380,838,1,2.8,3.8,2.1,0.9,0.1,1.5,1.6,19,1
346,41,20.5,427,400,876,0.2,1.6,1.7,1.6,0.4,0,0.8,1.3,8.4,1
805,794,34.6,441,372,708,1.2,3.8,5,2.7,1.2,0.4,1.8,2.3,17.5,1
640,397,27.1,431,357,868,0.5,1.9,2.4,4.9,1.1,0.2,1.7,2.2,9.9,1
448,81,23,425,354,798,0.7,1.8,2.5,2.8,0.9,0.1,1.4,2.5,11.2,1
437,384,32.6,481,241,619,1.1,3.3,4.4,8.1,1.9,0.1,2.7,2.2,10.8,1
279,278,36.8,464,310,815,1,2.9,3.8,6.8,0.9,0.4,2.9,1.5,21,1
41,31,34.2,357,340,803,0.5,3.7,4.2,8.2,2.2,0.2,3.2,2.4,10.6,1
289,105,26.9,439,413,720,0.5,3.1,3.6,1.1,0.6,0.7,1.1,1.6,9.1,1
28,0,12.8,347,308,636,0.3,0.7,0.9,2.1,0.6,0,1.2,1,3,1
720,349,26.9,440,363,802,0.5,2.5,3.1,2.5,0.9,0.3,1.4,1.9,10,1
409,265,22.2,438,322,730,0.7,3,3.7,1.5,1,0.5,1,1.8,5.4,1
28,0,8.4,347,133,786,0.1,0.5,0.5,1.1,0.2,0,1,0.6,2.3,1
323,108,25.4,449,333,787,0.6,2.5,3.1,5,0.8,0.1,2,1.6,11.1,1
59,35,28.9,401,306,798,0.7,2.4,3.2,2.8,1.7,0.1,1.9,2.9,9.5,1
2,0,19,267,167,667,1,1,2,1.5,0,0,1.5,2.5,5.5,1
33,11,20.3,399,80,767,0.5,1.5,2,3.2,0.4,0.1,1.5,1.1,5.5,1
69,4,9.8,378,316,613,0.2,1,1.2,1.7,0.5,0.1,0.7,0.8,2.5,1
538,130,24.2,427,369,740,0.5,2.4,2.9,2,1,0.2,1.5,2.1,12.5,1
44,4,12.3,372,289,714,0.4,0.9,1.3,1.4,0.4,0.1,1,1.2,3.8,1
54,1,10.3,366,114,613,0.2,1.1,1.3,1.2,0.5,0.1,1,0.8,2.6,1
22,2,8.1,419,182,727,0.2,0.9,1.1,1.7,0.4,0.3,0.5,0.8,1.6,1
334,236,29.7,424,281,834,0.8,2.3,3.1,4.4,1,0.2,2,2.5,13.8,1
207,76,18.7,451,332,779,0.2,1.4,1.6,2.8,0.9,0.4,1.2,1.5,6.9,1
489,190,22.2,393,314,779,0.3,1.3,1.6,3.6,0.8,0.1,1.6,2.2,7.6,1
1022,626,33.5,448,380,846,0.4,2.2,2.7,4.7,1.3,0.2,2.1,2,16.1,1
65,37,25.5,448,379,832,0.7,1.8,2.6,4.1,0.8,0.1,1.6,1.9,11.5,1
66,29,24.3,443,414,868,0.4,2.1,2.4,2,0.7,0.3,1.6,2.3,12.5,1
197,91,27.5,441,362,821,1.1,2.2,3.3,1.8,1,0.2,1.3,1.8,14.9,1
473,367,27.7,395,302,717,0.7,2.4,3.1,6.4,1.5,0.3,2.7,2.5,9.3,1
143,34,24.5,436,269,747,0.5,4.3,4.8,2.4,0.6,0.2,1.3,1.8,8.2,1
562,234,23.7,464,354,827,0.4,1.8,2.2,3.5,0.8,0.1,1.5,1.7,9.2,1
60,8,13.4,395,333,587,0.8,1.3,2.1,2.2,0.5,0.2,0.7,1,4,1
136,27,18.9,423,308,807,0.3,1.6,1.8,3.8,0.6,0.1,1.6,1.5,6.2,1
596,588,37.2,486,291,770,1.3,3.7,5.1,6.2,1.8,1,3.6,2.5,25.2,1
200,14,12.4,420,325,751,0.2,1,1.2,0.7,0.4,0.1,0.6,0.8,5.3,1
66,25,27.2,366,305,789,0.5,3.1,3.5,4.4,0.9,0.3,1.8,1.2,12.1,1
135,130,37,416,236,777,0.6,4,4.6,8.2,1.6,0.7,3.8,2.3,16.3,1
305,59,20.6,422,372,807,0.4,1.6,1.9,2.6,1,0.1,1.1,1.5,7.8,1
806,223,23,414,327,703,0.5,1.8,2.3,4.5,1,0.2,1.8,2,6.8,1
394,191,23.4,414,374,770,0.6,2.5,3.2,0.8,0.5,0.3,0.9,1.8,8.4,1
432,258,27.4,448,372,826,0.5,2.4,2.9,3.6,1.1,0.4,1.6,1.9,9.7,1
312,295,34.2,430,289,818,1.7,3,4.7,6.8,1.6,0.3,3.5,2.4,19,1
502,128,19.4,423,330,789,0.8,1.7,2.5,1.4,0.8,0.2,0.9,1.7,6.3,1
506,473,35.7,455,351,812,0.5,2.8,3.3,9.2,1.1,0.2,3.2,2.6,17.6,1
24,0,6.2,500,296,333,0.3,0.5,0.8,0.3,0.2,0.1,0.2,0.8,3.7,1
455,38,21.9,421,337,798,0.4,1.6,2,3,0.8,0.2,1.4,1.4,11.3,1
589,432,30.4,441,387,869,0.5,2.4,3,4.9,1,0.1,2.3,2.5,13.8,1
137,32,23,463,382,767,0.7,2.4,3.1,1.8,0.5,0.1,0.9,1.5,10.1,1
129,9,20.2,404,315,682,0.5,3.4,3.9,2.5,0.6,0.1,1.6,1.4,7.6,1
357,105,22.9,429,378,828,0.4,1.5,1.9,0.9,0.5,0.2,1.2,2,11.4,1
193,49,17,449,268,770,0.7,1.6,2.3,0.7,0.6,0.2,0.9,1.3,6.6,1
26,0,7,314,0,700,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5,2
44,0,7.1,526,0,833,0.6,1.3,1.9,0.2,0.3,0.5,0.4,1.2,1.7,2
41,15,15.2,473,0,786,1.1,3,4.2,0.8,0.3,0.4,0.5,1.8,4.1,2
482,10,17.8,508,87,642,1.8,3.4,5.2,0.5,0.4,1.6,0.8,2,5.4,2
308,107,18.4,509,0,668,1.5,2,3.4,0.2,0.3,1.3,0.6,2.2,2.7,2
148,2,13.2,529,0,484,1.6,2.8,4.4,0.4,0.3,0.8,0.9,1.9,2.9,2
54,24,20.1,536,0,619,1.6,3.3,4.9,1.4,1,0.8,0.8,2.2,5.9,2
398,291,30.5,440,365,824,0.9,4,4.9,1.3,0.4,0.9,1.7,2.7,15.4,2
837,429,21.1,488,162,690,1.6,3.5,5.1,0.6,0.5,0.8,0.8,2.6,6.1,2
457,302,23.2,595,0,506,2.5,5,7.6,1,0.7,1.2,1,3.3,7,2
63,41,23.1,464,0,483,1.8,4,5.8,0.4,0.3,1.8,1.1,2.3,5.2,2
227,150,20.2,528,0,602,2.5,3.8,6.4,1,0.9,0.4,1.4,2.7,8.5,2
408,400,32.7,522,45,574,2.8,6.5,9.3,2.3,0.7,1.6,2,3.3,12.7,2
561,87,18.9,467,415,780,1,2.5,3.5,0.8,0.4,0.3,0.4,1.9,6.8,2
585,270,22.4,492,111,573,1.8,3.8,5.6,0.9,0.5,0.6,1.3,2.3,6.8,2
392,300,26,566,111,687,2.4,5.4,7.8,1.2,0.3,1.6,1.6,2.5,11.7,2
949,782,30,467,205,672,2.7,7.2,9.9,1.9,1,2.4,1.4,2.8,9.7,2
724,527,28.1,578,0,633,3.1,5.9,8.9,0.8,0.6,1.4,1.6,3.1,8.6,2
675,467,21.3,412,226,645,1.3,2.6,3.9,0.9,0.5,0.5,0.9,2.9,3.8,2
588,169,23.2,536,59,728,2.3,3.8,6.1,0.9,0.5,0.6,1.1,3.1,7.1,2
421,74,13.4,439,382,783,0.7,1.9,2.6,0.6,0.3,0.3,0.6,1.9,5.5,2
145,124,29.4,439,156,694,3.3,6.3,9.7,2.1,1.2,1,3,4.1,15.9,2
525,411,24.9,545,1,643,1.8,3.4,5.2,0.5,0.3,0.7,2.2,3,13,2
727,582,25.8,518,0,704,2.7,5.5,8.2,0.5,0.5,1.9,1.5,3.1,8,2
987,771,24.3,498,125,626,2.8,4.3,7.1,0.8,0.3,1.4,1.4,2.9,7.4,2
338,44,21.4,443,158,706,1.6,2.8,4.3,0.8,0.7,0.3,1,2.5,7.9,2
680,468,30.1,492,333,708,1.4,3.5,4.9,4,0.7,0.6,2,2.4,9.5,2
579,92,14.1,430,200,468,1.4,2.3,3.7,0.4,0.4,1.1,0.6,2.1,2,2
69,17,13.4,546,0,594,0.8,1.9,2.8,0.4,0.4,0.4,0.7,2.4,3.8,2
143,36,20.4,508,0,624,2.3,3.6,5.9,0.6,0.5,0.9,1.3,2.7,7.7,2
135,7,8.2,496,0,410,0.7,1.3,2,0.3,0.1,0.4,0.5,1.7,2.3,2
764,345,20.6,497,130,615,2.8,4.1,6.9,0.9,0.7,0.4,0.8,2.5,4.9,2
500,258,23.9,445,390,814,1.2,4,5.2,1,0.5,0.7,1,2.9,9.7,2
527,164,14.8,500,0,498,1.7,2.7,4.4,0.4,0.5,0.8,0.7,2.4,4.7,2
1255,1218,36.5,499,283,790,2.4,8.2,10.6,4,1.3,1.5,2.3,2.5,19.3,2
297,290,33.5,528,190,722,2.3,5.8,8.1,2.4,0.9,1.5,1.9,3.3,13.1,2
796,790,36,520,232,752,2.8,6.4,9.2,3.2,0.6,1.7,2.3,2.3,18.7,2
26,7,9.7,424,0,500,0.5,1.7,2.2,0.2,0.2,0.8,0.3,1.2,2.2,2
671,493,27.4,466,227,759,2.6,5.1,7.7,1.2,0.8,0.7,1.6,2.6,12,2
296,83,20.5,555,200,674,1.8,4.7,6.5,0.5,0.4,1.1,0.8,2,8.1,2
239,65,12.5,512,0,569,1.4,2.5,4,0.6,0.3,0.3,0.8,2.2,3.7,2
121,0,6.1,477,0,663,0.8,1.4,2.2,0.3,0,0.5,0.5,1.2,2.1,2
165,30,21.1,425,0,787,1.9,2.9,4.8,0.6,0.6,0.2,1,2.4,9.9,2
14,0,5.9,290,154,0,0.2,0.6,0.9,0.1,0.1,0.2,0.4,0.4,1.4,2
37,4,14.6,423,339,615,1.3,2.6,3.9,0.3,0.6,0.5,0.5,1.3,4.4,2
338,228,22.9,468,301,650,1.7,4.1,5.8,1.7,0.4,1,1.5,2.6,8.5,2
478,242,20,509,0,608,1.9,3.7,5.6,1.3,0.8,0.4,0.8,2.6,4.2,2
733,531,23.7,534,0,591,2.7,3.6,6.2,0.6,0.4,1.4,1.1,2.6,7.2,2
297,256,24.3,481,273,725,2.3,4,6.4,1.6,0.4,1.6,1.7,3.2,11.1,2
158,19,14.6,493,0,680,1.7,2.5,4.2,0.4,0.3,0.6,0.8,2,5.3,2
314,55,13,557,0,646,0.9,1.3,2.3,0.3,0.2,0.5,0.8,2.2,4.2,2
317,313,33.7,537,250,761,2.6,6.8,9.5,2.4,0.8,1.1,1.6,2.8,12.8,2
621,620,36.2,577,30,588,3.6,9.3,13,1.5,1,2.2,3.1,3.2,18.4,2
221,110,24.1,540,333,695,2.5,4.4,6.9,0.3,0.4,2.4,1,2.9,8.5,2
550,419,30.3,501,40,711,2.7,6.2,8.9,1.4,0.7,1.4,1.5,2.8,16.2,2
353,126,19,584,250,707,2,3,5,0.7,0.5,1.1,0.9,3,6.1,2
269,157,21.4,644,0,440,2.2,4.1,6.4,0.3,0.4,1.5,1.1,2.6,6,2
21,0,5.1,515,0,800,0.7,0.6,1.3,0.2,0,0.3,0.1,0.7,2,2
540,458,29.7,483,0,741,2.2,6.1,8.3,1.4,0.5,1.4,2.3,2.9,11.9,2
66,0,13.2,496,0,667,1.6,2.6,4.2,0.1,0.3,0.4,0.8,1.3,4.6,2
182,33,10.8,521,0,622,1.2,1.9,3.1,0.3,0.3,0.6,0.6,1.4,3.8,2
498,340,31.7,539,48,777,2.8,6.8,9.6,2.2,0.9,0.4,1.8,2.8,14.3,2
251,244,34.1,504,0,796,2.8,4.7,7.5,1.6,0.6,1.6,2.1,3,17.4,2
242,94,14.4,517,0,714,1.4,1.9,3.3,0.2,0.2,0.8,0.7,2,5.8,2
269,187,31.7,457,372,823,3.9,8.1,12,1.9,0.6,0.5,1.9,2.4,17.3,2
680,314,21.5,480,0,639,2.1,4.4,6.5,0.6,0.3,0.9,1.5,2.6,7.2,2
149,12,12.2,561,0,691,1.1,2,3.1,0.2,0.4,0.4,0.6,2.1,4.4,2
275,153,21.2,533,0,581,2.2,3.8,6,0.4,0.4,1.8,1.1,2.5,8.6,2
467,208,18.5,460,0,574,1.3,2.9,4.2,0.9,0.4,1.3,1.2,2.3,6,2
868,598,28.3,480,330,804,2,5.2,7.1,2.8,0.7,0.7,1.6,2.7,11.2,2
834,341,17.4,493,0,639,2,3.2,5.2,0.4,0.5,0.7,1,2.4,6.6,2
146,114,29.5,533,0,685,3.3,5.1,8.5,1.8,1.2,0.6,1.7,2.6,12.1,2
564,181,18.2,551,154,743,1.4,2.5,3.9,0.7,0.3,0.5,1,2.7,5.8,2
89,49,13.6,505,0,697,1.1,2.3,3.4,0.4,0.3,0.8,1,1.9,4.5,2
91,25,17.6,418,235,786,1.2,2.8,4,0.6,0.3,0.6,1,1.8,7.1,2
715,481,27.5,446,390,784,1.9,6,7.9,1.5,0.6,0.4,1.2,2.6,10.9,2
566,457,29.5,561,80,678,2.1,4.8,7,1.8,1.2,0.9,2,3.3,12.4,2
330,252,27,514,0,721,3.2,5.4,8.6,1.8,0.7,1.3,1.4,2.8,8.9,2
